vehicle_id,origin_id,KEY_CODE,destination_edge,lane_id,current_edge,speed_mps,pos_m,lane_length_m,distance_to_lane_end_m,near_lane_end,current_edge_closed,successor_count,open_successor_count,has_open_path_to_destination,layer
veh_full_origin_0133_0044,origin_0133,5439074912,12727#0,290#13_0,290#13,0.0,13.13,40.92,27.79,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0133_0045,origin_0133,5439074912,12727#0,290#11_1,290#11,0.0,6.97,51.62,44.65,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0133_0046,origin_0133,5439074912,12727#0,290#3_0,290#3,0.0,8.9,10.52,1.62,True,False,1,1,True,queue_behind_blockage
veh_full_origin_0133_0047,origin_0133,5439074912,12727#0,:9000000001101_0_0,:9000000001101_0,0.0,2.56,2.77,0.21,True,False,1,1,True,intersection_blockage
veh_full_origin_0134_0011,origin_0134,5439074913,11531#5,6214#0_0,6214#0,0.0,44.3,100.08,55.78,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0136_0017,origin_0136,5439074921,12727#0,290#14_0,290#14,0.0,16.89,31.58,14.69,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0136_0018,origin_0136,5439074921,12727#0,290#13_0,290#13,0.0,5.63,40.92,35.29,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0136_0019,origin_0136,5439074921,12727#0,290#11_0,290#11,0.0,36.88,51.62,14.74,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0136_0020,origin_0136,5439074921,12727#0,290#11_0,290#11,0.0,14.37,51.62,37.25,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0136_0021,origin_0136,5439074921,12727#0,290#12_0,290#12,0.0,22.45,31.5,9.05,True,False,1,1,True,queue_behind_blockage
veh_full_origin_0136_0025,origin_0136,5439074921,12727#0,290#12_0,290#12,0.0,14.95,31.5,16.55,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0136_0026,origin_0136,5439074921,12727#0,290#13_0,290#13,0.0,20.63,40.92,20.29,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0136_0027,origin_0136,5439074921,12727#0,290#15_0,290#15,0.0,0.98,3.09,2.11,True,False,1,1,True,queue_behind_blockage
veh_full_origin_0139_0008,origin_0139,5439074931,12727#0,6214#0_1,6214#0,0.0,81.34,100.08,18.74,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0139_0009,origin_0139,5439074931,12727#0,6214#1_0,6214#1,0.0,19.11,40.94,21.83,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0139_0016,origin_0139,5439074931,12727#0,290#6_0,290#6,0.0,3.84,25.65,21.81,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0141_0013,origin_0141,5439074933,12727#0,290#12_0,290#12,0.0,29.95,31.5,1.55,True,False,1,1,True,queue_behind_blockage
veh_full_origin_0142_0008,origin_0142,5439074941,12727#0,290#7_1,290#7,0.0,0.6,40.12,39.52,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0142_0016,origin_0142,5439074941,12727#0,290#7_1,290#7,0.0,8.1,40.12,32.02,False,False,1,1,True,queue_behind_blockage
veh_full_origin_0145_0001,origin_0145,5439075524,6104#10,5942#5_0,5942#5,0.0,7.0,52.01,45.01,False,True,1,0,False,physical_isolation
veh_full_origin_0145_0002,origin_0145,5439075524,6104#10,5942#4_0,5942#4,0.0,14.25,14.25,0.0,True,True,1,0,False,physical_isolation
veh_full_origin_0145_0003,origin_0145,5439075524,6104#10,5942#4_0,5942#4,0.0,6.75,14.25,7.5,True,True,1,0,False,physical_isolation
veh_full_origin_0146_0001,origin_0146,5439075533,6104#10,5942#5_0,5942#5,0.0,22.0,52.01,30.01,False,True,1,0,False,physical_isolation
veh_full_origin_0146_0002,origin_0146,5439075533,6104#10,5942#5_0,5942#5,0.0,14.5,52.01,37.51,False,True,1,0,False,physical_isolation
veh_full_origin_0146_0003,origin_0146,5439075533,6104#10,5942#3_0,5942#3,0.0,17.32,17.32,0.0,True,True,1,0,False,physical_isolation
veh_full_origin_0146_0004,origin_0146,5439075533,6104#10,5942#3_0,5942#3,0.0,9.82,17.32,7.5,True,True,1,0,False,physical_isolation
veh_full_origin_0146_0005,origin_0146,5439075533,6104#10,5942#2_0,5942#2,0.0,14.52,14.52,0.0,True,True,1,0,False,physical_isolation
veh_full_origin_0146_0006,origin_0146,5439075533,6104#10,5942#2_0,5942#2,0.0,7.02,14.52,7.5,True,True,1,0,False,physical_isolation
veh_full_origin_0146_0007,origin_0146,5439075533,6104#10,5942#1_0,5942#1,0.0,12.98,12.98,0.0,True,True,1,0,False,physical_isolation
veh_full_origin_0146_0008,origin_0146,5439075533,6104#10,5942#1_0,5942#1,0.0,5.48,12.98,7.5,True,True,1,0,False,physical_isolation
veh_full_origin_0146_0009,origin_0146,5439075533,6104#10,5942#0_0,5942#0,0.0,37.87,37.87,0.0,True,True,1,0,False,physical_isolation
veh_full_origin_0146_0010,origin_0146,5439075533,6104#10,5942#0_0,5942#0,0.0,30.37,37.87,7.5,True,True,1,0,False,physical_isolation
veh_full_origin_0146_0011,origin_0146,5439075533,6104#10,5942#0_0,5942#0,0.0,22.87,37.87,15.0,False,True,1,0,False,physical_isolation
veh_full_origin_0146_0012,origin_0146,5439075533,6104#10,5942#0_0,5942#0,0.0,15.37,37.87,22.5,False,True,1,0,False,physical_isolation
veh_full_origin_0146_0013,origin_0146,5439075533,6104#10,5942#0_0,5942#0,0.0,7.86,37.87,30.01,False,True,1,0,False,physical_isolation
veh_full_origin_0146_0014,origin_0146,5439075533,6104#10,5931#5_0,5931#5,0.0,47.74,47.74,0.0,True,True,3,1,True,queue_behind_blockage
veh_full_origin_0146_0015,origin_0146,5439075533,6104#10,5931#5_0,5931#5,0.0,40.24,47.74,7.5,True,True,3,1,True,queue_behind_blockage
veh_full_origin_0146_0016,origin_0146,5439075533,6104#10,5931#5_0,5931#5,0.0,32.74,47.74,15.0,False,True,3,1,True,queue_behind_blockage
veh_full_origin_0146_0017,origin_0146,5439075533,6104#10,5931#5_0,5931#5,0.0,25.24,47.74,22.5,False,True,3,1,True,queue_behind_blockage
veh_full_origin_0146_0018,origin_0146,5439075533,6104#10,5931#5_0,5931#5,0.0,17.73,47.74,30.01,False,True,3,1,True,queue_behind_blockage
veh_full_origin_0146_0019,origin_0146,5439075533,6104#10,5931#5_0,5931#5,0.0,10.23,47.74,37.51,False,True,3,1,True,queue_behind_blockage
veh_full_origin_0146_0020,origin_0146,5439075533,6104#10,5931#5_0,5931#5,0.0,2.73,47.74,45.01,False,True,3,1,True,queue_behind_blockage
veh_full_origin_0146_0021,origin_0146,5439075533,6104#10,5931#4_0,5931#4,0.0,20.64,24.95,4.31,True,True,1,0,False,physical_isolation
veh_full_origin_0146_0022,origin_0146,5439075533,6104#10,5931#4_0,5931#4,0.0,13.14,24.95,11.81,False,True,1,0,False,physical_isolation
veh_full_origin_0146_0023,origin_0146,5439075533,6104#10,5931#4_0,5931#4,0.0,5.64,24.95,19.31,False,True,1,0,False,physical_isolation
veh_full_origin_0146_0024,origin_0146,5439075533,6104#10,5931#3_0,5931#3,0.0,31.2,38.7,7.5,True,True,1,0,False,physical_isolation
veh_full_origin_0146_0025,origin_0146,5439075533,6104#10,5931#3_0,5931#3,0.0,23.7,38.7,15.0,False,True,1,0,False,physical_isolation
veh_full_origin_0146_0026,origin_0146,5439075533,6104#10,5931#3_0,5931#3,0.0,16.2,38.7,22.5,False,True,1,0,False,physical_isolation
veh_full_origin_0146_0027,origin_0146,5439075533,6104#10,5931#3_0,5931#3,0.0,8.69,38.7,30.01,False,True,1,0,False,physical_isolation
veh_full_origin_0146_0028,origin_0146,5439075533,6104#10,5931#2_0,5931#2,0.0,37.67,37.67,0.0,True,True,1,0,False,physical_isolation
veh_full_origin_0146_0029,origin_0146,5439075533,6104#10,5931#2_0,5931#2,0.0,30.17,37.67,7.5,True,True,1,0,False,physical_isolation
veh_full_origin_0146_0030,origin_0146,5439075533,6104#10,5931#2_0,5931#2,0.0,22.67,37.67,15.0,False,True,1,0,False,physical_isolation
veh_full_origin_0146_0031,origin_0146,5439075533,6104#10,5931#2_0,5931#2,0.0,15.17,37.67,22.5,False,True,1,0,False,physical_isolation
