origin_id,type3_total,type3_arrived,type3_completion_rate,type4_total,type4_arrived,type4_completion_rate,type4_minus_type3_completion_rate
origin_0327,5,5,1.0,2,2,1.0,0.0
origin_0328,2,2,1.0,1,1,1.0,0.0
origin_0330,5,5,1.0,3,3,1.0,0.0
origin_0332,2,2,1.0,1,1,1.0,0.0
origin_0333,2,2,1.0,0,0,,
origin_0334,2,2,1.0,0,0,,
origin_0335,1,1,1.0,0,0,,
origin_0336,1,1,1.0,0,0,,
origin_0337,2,2,1.0,0,0,,
origin_0338,4,4,1.0,1,1,1.0,0.0
origin_0339,3,3,1.0,1,1,1.0,0.0
origin_0340,5,5,1.0,1,1,1.0,0.0
origin_0341,2,1,0.5,0,0,,
origin_0342,4,2,0.5,0,0,,
origin_0343,2,2,1.0,0,0,,
origin_0344,11,9,0.818182,1,1,1.0,0.181818
origin_0345,2,2,1.0,1,1,1.0,0.0
origin_0346,6,6,1.0,0,0,,
origin_0347,6,6,1.0,1,1,1.0,0.0
origin_0348,1,1,1.0,1,1,1.0,0.0
origin_0349,5,5,1.0,0,0,,
origin_0350,1,1,1.0,0,0,,
origin_0351,7,5,0.714286,2,2,1.0,0.285714
origin_0352,6,6,1.0,2,2,1.0,0.0
origin_0353,2,2,1.0,0,0,,
origin_0354,9,7,0.777778,3,2,0.666667,-0.111111
origin_0355,6,4,0.666667,2,2,1.0,0.333333
origin_0356,3,3,1.0,1,1,1.0,0.0
origin_0357,2,2,1.0,0,0,,
origin_0358,2,2,1.0,1,1,1.0,0.0
origin_0359,4,4,1.0,2,2,1.0,0.0
origin_0360,3,3,1.0,0,0,,
origin_0361,11,11,1.0,4,4,1.0,0.0
origin_0362,1,1,1.0,0,0,,
origin_0363,1,1,1.0,0,0,,
origin_0364,1,1,1.0,0,0,,
origin_0365,6,6,1.0,1,1,1.0,0.0
origin_0366,3,2,0.666667,0,0,,
origin_0367,1,1,1.0,0,0,,
origin_0368,1,1,1.0,0,0,,
origin_0369,1,1,1.0,1,1,1.0,0.0
origin_0372,0,0,,1,1,1.0,
origin_0375,3,3,1.0,1,1,1.0,0.0
origin_0376,3,3,1.0,1,1,1.0,0.0
origin_0378,1,1,1.0,0,0,,
origin_0380,0,0,,1,1,1.0,
origin_0381,4,4,1.0,1,1,1.0,0.0
origin_0382,1,1,1.0,0,0,,
origin_0384,3,3,1.0,1,0,0.0,-1.0
origin_0385,0,0,,1,1,1.0,
origin_0387,1,1,1.0,1,1,1.0,0.0
origin_0388,1,1,1.0,0,0,,
origin_0389,1,1,1.0,0,0,,
origin_0390,2,2,1.0,1,1,1.0,0.0
origin_0392,2,2,1.0,0,0,,
origin_0393,1,1,1.0,1,1,1.0,0.0
origin_0394,1,1,1.0,0,0,,
origin_0396,1,1,1.0,0,0,,
origin_0397,1,1,1.0,0,0,,
origin_0398,1,1,1.0,0,0,,
origin_0399,1,1,1.0,1,1,1.0,0.0
origin_0400,1,1,1.0,0,0,,
origin_0401,1,1,1.0,0,0,,
origin_0402,2,2,1.0,0,0,,
origin_0403,2,2,1.0,0,0,,
origin_0404,1,1,1.0,1,1,1.0,0.0
