origin_id,KEY_CODE,type3_vehicle_count,type3_arrived_count,type3_completion_rate,type4_vehicle_count,type4_arrived_count,type4_completion_rate,type34_vehicle_count,type34_arrived_count,type34_completion_rate,assigned_type4_share,population_type4_share,type4_minus_type3_completion_rate
origin_0162,5439075931,10,9,0.9,3,3,1.0,13,12,0.923077,0.230769,0.241379,0.1
origin_0163,5439075932,12,12,1.0,3,3,1.0,15,15,1.0,0.2,0.228571,0.0
origin_0164,5439075934,7,7,1.0,3,3,1.0,10,10,1.0,0.3,0.304348,0.0
origin_0165,5439075941,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.5,0.0
origin_0167,5439076523,1,1,1.0,1,0,0.0,2,1,0.5,0.5,0.333333,-1.0
origin_0168,5439076524,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0169,5439076544,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.333333,0.0
origin_0170,5439076612,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0171,5439076623,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0173,5439076642,1,1,1.0,1,0,0.0,2,1,0.5,0.5,0.4,-1.0
origin_0174,5439076643,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.285714,0.0
origin_0175,5439076842,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.333333,0.0
origin_0176,5439076911,17,17,1.0,7,7,1.0,24,24,1.0,0.291667,0.285714,0.0
origin_0177,5439076912,5,3,0.6,1,1,1.0,6,4,0.666667,0.166667,0.214286,0.4
origin_0178,5439076913,2,2,1.0,0,0,,2,2,1.0,0.0,0.2,
origin_0179,5439076931,2,1,0.5,0,0,,2,1,0.5,0.0,0.2,
origin_0180,5439076942,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0181,5439076944,1,1,1.0,1,1,1.0,2,2,1.0,0.5,0.333333,0.0
origin_0184,5439077541,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.333333,0.0
origin_0185,5439077542,1,1,1.0,0,0,,1,1,1.0,0.0,0.5,
origin_0186,5439077543,1,1,1.0,0,0,,1,1,1.0,0.0,0.0,
origin_0187,5439077611,2,2,1.0,1,1,1.0,3,3,1.0,0.333333,0.5,0.0
