city_code,city_name,scenario,vehicle_count,arrived_count,not_arrived_count,reroute_failed_count,long_stopped_count,departure_blocked_count,stranded_main_count,closure_event_count,final_closed_sumo_edge_count,vehicle_log,closure_log,congestion_log,summary,updated_at,run_id
08214,高萩市,10pct,547,547,0,0,0,0,0,8,3440,output/sumo/regions/08214/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08214/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08214/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08214/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:29:56,
08215,北茨城市,10pct,632,632,0,0,0,0,0,8,4352,output/sumo/regions/08215/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08215/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08215/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08215/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:31:12,
08216,笠間市,10pct,906,906,0,0,0,0,0,8,13580,output/sumo/regions/08216/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08216/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08216/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08216/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:33:57,
08217,取手市,10pct,1302,1302,0,0,0,0,0,8,6336,output/sumo/regions/08217/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08217/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08217/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08217/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:36:49,
08219,牛久市,10pct,390,390,0,0,0,0,0,8,2830,output/sumo/regions/08219/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08219/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08219/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08219/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:37:53,
08220,つくば市,10pct,1530,1530,0,0,0,0,0,8,14337,output/sumo/regions/08220/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08220/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08220/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08220/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:44:26,
08221,ひたちなか市,10pct,724,724,0,0,0,0,0,8,2696,output/sumo/regions/08221/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08221/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08221/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08221/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:46:16,
08223,潮来市,10pct,199,199,0,0,0,0,0,8,801,output/sumo/regions/08223/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08223/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08223/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08223/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:46:56,
08224,守谷市,10pct,40,40,0,0,0,0,0,8,848,output/sumo/regions/08224/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08224/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08224/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08224/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:47:34,
08225,常陸大宮市,10pct,149,149,0,0,0,0,0,8,5168,output/sumo/regions/08225/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08225/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08225/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08225/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:49:22,
08226,那珂市,10pct,61,61,0,0,0,0,0,8,32,output/sumo/regions/08226/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08226/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08226/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08226/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:50:24,
08227,筑西市,10pct,1704,1704,0,0,0,0,0,8,12581,output/sumo/regions/08227/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08227/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08227/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08227/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:53:19,
08228,坂東市,10pct,777,777,0,0,0,0,0,8,6166,output/sumo/regions/08228/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08228/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08228/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08228/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:55:07,
08229,稲敷市,10pct,618,618,0,0,0,0,0,8,7677,output/sumo/regions/08229/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08229/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08229/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08229/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:56:41,
08230,かすみがうら市,10pct,316,316,0,0,0,0,0,8,4611,output/sumo/regions/08230/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08230/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08230/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08230/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:57:53,
08231,桜川市,10pct,618,618,0,0,0,0,0,8,5663,output/sumo/regions/08231/results/scenario_a_10pct_vehicle_log.csv,output/sumo/regions/08231/results/scenario_a_10pct_closure_log.csv,output/sumo/regions/08231/results/scenario_a_10pct_congestion_log.csv,output/sumo/regions/08231/results/scenario_a_10pct_traci_summary.json,2026-05-18T16:59:24,
