timestamp,edge_id
2015-09-11T06:00:00,1429737846_1429737537_0
2015-09-11T06:00:00,1429737901_2088132409_0
2015-09-11T06:00:00,1429737909_1429735875_0
2015-09-11T06:00:00,1429737909_1429738005_0
2015-09-11T06:00:00,1429737937_1429738005_0
2015-09-11T06:00:00,1429737937_1429738132_0
2015-09-11T06:00:00,1429738005_1429737909_0
2015-09-11T06:00:00,1429738005_1429737937_0
2015-09-11T06:00:00,1429738132_1429737937_0
2015-09-11T06:00:00,1429738132_1429738155_0
2015-09-11T06:00:00,1429738132_3737636974_0
2015-09-11T06:00:00,1429738132_3741280747_0
2015-09-11T06:00:00,1429738155_1429738132_0
2015-09-11T06:00:00,1429738155_3737636974_0
2015-09-11T06:00:00,1429738300_1429738829_0
2015-09-11T06:00:00,1429738659_1429739216_0
2015-09-11T06:00:00,1429738749_1429738829_0
2015-09-11T06:00:00,1429738749_1429739216_0
2015-09-11T06:00:00,1429738749_3737636974_0
2015-09-11T06:00:00,1429738829_1429738300_0
2015-09-11T06:00:00,1429738829_1429738749_0
2015-09-11T06:00:00,1429738829_1429739331_0
2015-09-11T06:00:00,1429739216_1429738659_0
2015-09-11T06:00:00,1429739216_1429738749_0
2015-09-11T06:00:00,1429739216_1429739417_0
2015-09-11T06:00:00,1429739331_1429738829_0
2015-09-11T06:00:00,1429739386_1429739401_0
2015-09-11T06:00:00,1429739386_1429739562_0
2015-09-11T06:00:00,1429739401_1429739386_0
2015-09-11T06:00:00,1429739401_1429739414_0
2015-09-11T06:00:00,1429739401_1429740881_0
2015-09-11T06:00:00,1429739401_4813674704_0
2015-09-11T06:00:00,1429739414_1429739401_0
2015-09-11T06:00:00,1429739417_1429739216_0
2015-09-11T06:00:00,1429739562_1429739386_0
2015-09-11T06:00:00,1429739562_4813682808_0
2015-09-11T06:00:00,1429740533_1429740547_0
2015-09-11T06:00:00,1429740533_1429741084_0
2015-09-11T06:00:00,1429740547_1429740533_0
2015-09-11T06:00:00,1429740881_1429739401_0
2015-09-11T06:00:00,1429741084_1429740533_0
2015-09-11T06:00:00,1429741596_1429743448_0
2015-09-11T06:00:00,1429741596_519670177_0
2015-09-11T06:00:00,1429741827_1429742127_0
2015-09-11T06:00:00,1429742127_1429741827_0
2015-09-11T06:00:00,1429743448_1429741596_0
2015-09-11T06:00:00,1429743448_1429743799_0
2015-09-11T06:00:00,1429743668_3749239647_0
2015-09-11T06:00:00,1429743799_1429743448_0
2015-09-11T06:00:00,1429743799_1433457896_0
2015-09-11T06:00:00,1429743799_3749239653_0
2015-09-11T06:00:00,1429744122_3749239647_0
2015-09-11T06:00:00,1429744173_1429744222_0
2015-09-11T06:00:00,1429744222_1429744173_0
2015-09-11T06:00:00,1429744222_1429745011_0
2015-09-11T06:00:00,1429744222_3749239653_0
2015-09-11T06:00:00,1429744222_519670283_0
2015-09-11T06:00:00,1429744550_3745454662_0
2015-09-11T06:00:00,1429744883_3745454662_0
2015-09-11T06:00:00,1429745011_1429744222_0
2015-09-11T06:00:00,1429745378_2087036175_0
2015-09-11T06:00:00,1429772988_5287033155_0
2015-09-11T06:00:00,1429772988_5287133086_0
2015-09-11T06:00:00,1429772988_546648486_0
2015-09-11T06:00:00,1429773003_3747375339_0
2015-09-11T06:00:00,1429773013_5287133085_0
2015-09-11T06:00:00,1429773021_3747375339_0
2015-09-11T06:00:00,1429773031_3747375379_0
2015-09-11T06:00:00,1429773031_3747375383_0
2015-09-11T06:00:00,1429773037_3747375400_0
2015-09-11T06:00:00,1429773045_3747375410_0
2015-09-11T06:00:00,1429787826_271723754_0
2015-09-11T06:00:00,1429787826_3748708636_0
2015-09-11T06:00:00,1429787831_1429787826_0
2015-09-11T06:00:00,1429787841_1429787845_0
2015-09-11T06:00:00,1429787845_1429787841_0
2015-09-11T06:00:00,1429787849_2087802506_0
2015-09-11T06:00:00,1429797513_4813644170_0
2015-09-11T06:00:00,1433457896_1429743799_0
2015-09-11T06:00:00,1433457901_1433457904_0
2015-09-11T06:00:00,1433457901_519670283_0
2015-09-11T06:00:00,1433457904_1433457901_0
2015-09-11T06:00:00,1695391443_1429517145_0
2015-09-11T06:00:00,1695391443_1429603198_0
2015-09-11T06:00:00,1695391443_1695391453_0
2015-09-11T06:00:00,1695391453_1429519676_0
